,zip_code
2494,95963
2495,95965
2496,95966
2497,95967
2498,95968
2499,95969
2500,95970
2501,95971
2502,95972
2503,95973
2504,95974
2505,95975
2506,95976
2507,95977
2508,95978
2509,95979
2510,95980
2511,95981
2512,95982
2513,95983
2514,95984
2515,95986
2516,95987
2517,95988
2518,95991
2519,95992
2520,95993
2521,96001
2522,96002
2523,96003
2524,96006
2525,96007
2526,96008
2527,96009
2528,96010
2529,96011
2530,96013
2531,96014
2532,96015
2533,96016
2534,96017
2535,96019
2536,96020
2537,96021
2538,96022
2539,96023
2540,96024
2541,96025
2542,96027
2543,96028
2544,96029
2545,96031
2546,96032
2547,96033
2548,96034
2549,96035
2550,96037
2551,96038
2552,96039
2553,96040
2554,96041
2555,96044
2556,96046
2557,96047
2558,96048
2559,96049
2560,96050
2561,96051
2562,96052
2563,96054
2564,96055
2565,96056
2566,96057
2567,96058
2568,96059
2569,96061
2570,96062
2571,96063
2572,96064
2573,96065
2574,96067
2575,96068
2576,96069
2577,96070
2578,96071
2579,96073
2580,96074
2581,96075
2582,96076
2583,96078
2584,96079
2585,96080
2586,96084
2587,96085
2588,96086
2589,96087
2590,96088
2591,96089
2592,96090
2593,96091
2594,96092
2595,96093
2596,96094
2597,96095
2598,96096
2599,96097
2600,96099
2601,96101
2602,96103
2603,96104
2604,96105
2605,96106
2606,96107
2607,96108
2608,96109
2609,96110
2610,96111
2611,96112
2612,96113
2613,96114
2614,96115
2615,96116
2616,96117
2617,96118
2618,96119
2619,96120
2620,96121
2621,96122
2622,96123
2623,96124
2624,96125
2625,96126
2626,96127
2627,96128
2628,96129
2629,96130
2630,96132
2631,96133
2632,96134
2633,96135
2634,96136
2635,96137
2636,96140
2637,96141
2638,96142
2639,96143
2640,96145
2641,96146
2642,96148
2643,96150
2644,96151
2645,96152
2646,96154
2647,96155
2648,96156
2649,96157
2650,96158
2651,96160
2652,96161
2653,96162
