,zip_code
638,92071
639,92072
640,92074
641,92075
642,92078
643,92079
644,92081
645,92082
646,92083
647,92084
648,92085
649,92086
650,92088
651,92090
652,92091
653,92092
654,92093
655,92096
656,92101
657,92102
658,92103
659,92104
660,92105
661,92106
662,92107
663,92108
664,92109
665,92110
666,92111
667,92112
668,92113
669,92114
670,92115
671,92116
672,92117
673,92118
674,92119
675,92120
676,92121
677,92122
678,92123
679,92124
680,92126
681,92127
682,92128
683,92129
684,92130
685,92131
686,92132
687,92133
688,92134
689,92135
690,92136
691,92137
692,92138
693,92139
694,92140
695,92142
696,92143
697,92145
698,92147
699,92149
700,92150
701,92152
702,92153
703,92154
704,92155
705,92158
706,92159
707,92160
708,92161
709,92162
710,92163
711,92164
712,92165
713,92166
714,92167
715,92168
716,92169
717,92170
718,92171
719,92172
720,92173
721,92174
722,92175
723,92176
724,92177
725,92178
726,92179
727,92182
728,92184
729,92186
730,92187
731,92190
732,92191
733,92192
734,92193
735,92194
736,92195
737,92196
738,92197
739,92198
740,92199
741,92201
742,92202
743,92203
744,92210
745,92211
746,92220
747,92222
748,92223
749,92225
750,92226
751,92227
752,92230
753,92231
754,92232
755,92233
756,92234
757,92235
758,92236
759,92239
760,92240
761,92241
762,92242
763,92243
764,92244
765,92247
766,92248
767,92249
768,92250
769,92251
770,92252
771,92253
772,92254
773,92255
774,92256
775,92257
776,92258
777,92259
778,92260
779,92261
780,92262
781,92263
782,92264
783,92266
784,92267
785,92268
786,92270
787,92273
788,92274
789,92275
790,92276
791,92277
792,92278
793,92280
794,92281
795,92282
796,92283
797,92284
798,92285
799,92286
800,92292
801,92301
802,92304
803,92305
804,92307
805,92308
806,92309
807,92310
808,92311
809,92312
810,92313
811,92314
812,92315
813,92316
814,92317
815,92318
816,92320
817,92321
818,92322
819,92323
820,92324
821,92325
822,92326
823,92327
824,92328
825,92329
826,92331
827,92332
828,92333
829,92334
830,92335
831,92336
832,92337
833,92338
834,92339
835,92340
836,92341
837,92342
838,92344
839,92345
840,92346
841,92347
842,92350
843,92352
844,92354
845,92356
846,92357
847,92358
848,92359
849,92363
850,92364
851,92365
852,92366
853,92368
854,92369
855,92371
856,92372
857,92373
858,92374
859,92375
860,92376
861,92377
862,92378
863,92382
864,92384
865,92385
866,92386
867,92389
868,92391
869,92392
870,92393
871,92394
872,92395
873,92397
874,92398
875,92399
876,92401
877,92402
878,92403
879,92404
880,92405
881,92406
882,92407
883,92408
884,92410
885,92411
886,92412
887,92413
888,92414
889,92415
890,92418
891,92423
892,92424
893,92427
894,92501
895,92502
896,92503
897,92504
898,92505
899,92506
900,92507
901,92508
902,92509
903,92513
904,92514
905,92515
906,92516
907,92517
908,92518
909,92519
910,92521
911,92522
912,92530
913,92531
914,92532
915,92536
916,92539
917,92543
918,92544
919,92545
920,92546
921,92548
922,92549
923,92551
924,92552
925,92553
926,92554
927,92555
928,92556
929,92557
930,92561
931,92562
932,92563
933,92564
934,92567
935,92570
936,92571
937,92572
938,92581
939,92582
940,92583
941,92584
942,92585
943,92586
944,92587
945,92589
946,92590
947,92591
948,92592
949,92593
950,92595
951,92596
952,92599
953,92602
954,92603
955,92604
956,92605
957,92606
958,92607
959,92609
960,92610
961,92612
962,92614
963,92615
964,92616
965,92617
966,92618
967,92619
968,92620
969,92623
970,92624
971,92625
972,92626
973,92627
974,92628
975,92629
976,92630
977,92637
978,92646
979,92647
980,92648
981,92649
982,92650
983,92651
984,92652
985,92653
986,92654
987,92655
988,92656
989,92657
990,92658
991,92659
992,92660
993,92661
994,92662
995,92663
996,92672
997,92673
998,92674
999,92675
1000,92676
1001,92677
1002,92678
1003,92679
1004,92683
1005,92684
1006,92685
1007,92688
1008,92690
1009,92691
1010,92692
1011,92693
1012,92694
1013,92697
1014,92698
1015,92701
1016,92702
1017,92703
1018,92704
1019,92705
1020,92706
1021,92707
1022,92708
1023,92709
1024,92710
1025,92711
1026,92712
1027,92725
1028,92728
1029,92735
1030,92780
1031,92781
1032,92782
1033,92799
1034,92801
1035,92802
1036,92803
1037,92804
1038,92805
1039,92806
1040,92807
1041,92808
1042,92809
1043,92811
1044,92812
1045,92814
1046,92815
1047,92816
1048,92817
1049,92821
1050,92822
1051,92823
1052,92825
1053,92831
1054,92832
1055,92833
1056,92834
1057,92835
1058,92836
1059,92837
1060,92838
1061,92840
1062,92841
1063,92842
1064,92843
1065,92844
1066,92845
1067,92846
1068,92850
1069,92856
1070,92857
1071,92859
1072,92860
1073,92861
1074,92862
1075,92863
1076,92864
1077,92865
1078,92866
1079,92867
1080,92868
1081,92869
1082,92870
1083,92871
1084,92877
1085,92878
1086,92879
1087,92880
1088,92881
1089,92882
1090,92883
1091,92885
1092,92886
1093,92887
1094,92899
1095,93001
1096,93002
1097,93003
1098,93004
1099,93005
1100,93006
1101,93007
1102,93009
1103,93010
1104,93011
1105,93012
1106,93013
1107,93014
1108,93015
1109,93016
1110,93020
1111,93021
1112,93022
1113,93023
1114,93024
1115,93030
1116,93031
1117,93032
1118,93033
1119,93034
1120,93035
1121,93036
1122,93040
1123,93041
1124,93042
1125,93043
1126,93044
1127,93060
1128,93061
1129,93062
1130,93063
1131,93064
1132,93065
1133,93066
1134,93067
1135,93093
1136,93094
1137,93099
1138,93101
1139,93102
1140,93103
1141,93105
1142,93106
1143,93107
1144,93108
1145,93109
1146,93110
1147,93111
1148,93116
1149,93117
1150,93118
1151,93120
1152,93121
1153,93130
1154,93140
1155,93150
1156,93160
1157,93190
1158,93199
1159,93201
1160,93202
1161,93203
1162,93204
1163,93205
1164,93206
1165,93207
1166,93208
1167,93210
1168,93212
1169,93215
1170,93216
1171,93218
1172,93219
1173,93220
1174,93221
1175,93222
1176,93223
1177,93224
1178,93225
1179,93226
1180,93227
1181,93230
1182,93232
1183,93234
1184,93235
1185,93237
1186,93238
1187,93239
1188,93240
1189,93241
1190,93242
1191,93243
1192,93244
1193,93245
1194,93246
1195,93247
1196,93249
1197,93250
1198,93251
1199,93252
1200,93254
1201,93255
1202,93256
1203,93257
1204,93258
1205,93260
1206,93261
1207,93262
1208,93263
1209,93265
1210,93266
1211,93267
1212,93268
1213,93270
1214,93271
1215,93272
1216,93274
1217,93275
1218,93276
1219,93277
1220,93278
1221,93279
1222,93280
1223,93282
1224,93283
1225,93285
1226,93286
1227,93287
1228,93290
1229,93291
1230,93292
1231,93301
1232,93302
1233,93303
1234,93304
1235,93305
1236,93306
1237,93307
1238,93308
